run_id,match_id,table_size,hand_id,dealer,winner,win_amount,pot_size,end_round,showdown,stacks_after
20260408T102956Z,match_002_baseline_vs_weak_ai,2,31,baseline,baseline,2000,2000,Showdown,True,"{""baseline"": 1000, ""weak_ai"": -1000}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,32,weak_ai,weak_ai,340,340,Showdown,True,"{""baseline"": -170, ""weak_ai"": 170}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,33,baseline,weak_ai,420,420,Showdown,True,"{""baseline"": -210, ""weak_ai"": 210}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,34,weak_ai,weak_ai,1980,1980,Flop,False,"{""baseline"": -980, ""weak_ai"": 980}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,35,baseline,weak_ai,1880,1880,Flop,False,"{""baseline"": -920, ""weak_ai"": 920}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,36,weak_ai,weak_ai,1600,1600,Showdown,True,"{""baseline"": -800, ""weak_ai"": 800}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,37,baseline,baseline,1482,1482,Showdown,True,"{""baseline"": 741, ""weak_ai"": -741}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,38,weak_ai,weak_ai,1980,1980,Flop,False,"{""baseline"": -980, ""weak_ai"": 980}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,39,baseline,baseline,520,520,Showdown,True,"{""baseline"": 260, ""weak_ai"": -260}"
20260408T102956Z,match_002_baseline_vs_weak_ai,2,40,weak_ai,weak_ai,400,400,Showdown,True,"{""baseline"": -200, ""weak_ai"": 200}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,1,baseline,baseline,340,340,Showdown,True,"{""baseline"": 170, ""weak_ai"": -170}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,2,weak_ai,weak_ai,410,410,Showdown,True,"{""baseline"": -205, ""weak_ai"": 205}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,3,baseline,baseline,1960,1960,Showdown,True,"{""baseline"": 980, ""weak_ai"": -980}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,4,weak_ai,baseline,1394,1394,Showdown,True,"{""baseline"": 697, ""weak_ai"": -697}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,5,baseline,weak_ai,480,480,Showdown,True,"{""baseline"": -240, ""weak_ai"": 240}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,6,weak_ai,baseline,370,370,Showdown,True,"{""baseline"": 185, ""weak_ai"": -185}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,7,baseline,weak_ai,1900,1900,Flop,False,"{""baseline"": -930, ""weak_ai"": 930}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,8,weak_ai,weak_ai,420,420,Showdown,True,"{""baseline"": -210, ""weak_ai"": 210}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,9,baseline,baseline,540,540,Showdown,True,"{""baseline"": 270, ""weak_ai"": -270}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,10,weak_ai,weak_ai,400,400,Showdown,True,"{""baseline"": -200, ""weak_ai"": 200}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,11,baseline,weak_ai,360,360,River,False,"{""baseline"": -140, ""weak_ai"": 140}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,12,weak_ai,weak_ai,774,774,Showdown,True,"{""baseline"": -387, ""weak_ai"": 387}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,13,baseline,weak_ai,380,380,River,False,"{""baseline"": -140, ""weak_ai"": 140}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,14,weak_ai,weak_ai,774,774,Showdown,True,"{""baseline"": -387, ""weak_ai"": 387}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,15,baseline,baseline,480,480,Showdown,True,"{""baseline"": 240, ""weak_ai"": -240}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,16,weak_ai,weak_ai,390,390,River,False,"{""baseline"": -140, ""weak_ai"": 140}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,17,baseline,weak_ai,352,352,Showdown,True,"{""baseline"": -176, ""weak_ai"": 176}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,18,weak_ai,weak_ai,420,420,Showdown,True,"{""baseline"": -210, ""weak_ai"": 210}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,19,baseline,weak_ai,390,390,River,False,"{""baseline"": -140, ""weak_ai"": 140}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,20,weak_ai,weak_ai,352,352,Showdown,True,"{""baseline"": -176, ""weak_ai"": 176}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,21,baseline,weak_ai,420,420,Showdown,True,"{""baseline"": -210, ""weak_ai"": 210}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,22,weak_ai,baseline,1814,1814,Showdown,True,"{""baseline"": 907, ""weak_ai"": -907}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,23,baseline,baseline,1980,1980,Showdown,True,"{""baseline"": 990, ""weak_ai"": -990}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,24,weak_ai,baseline,370,370,Showdown,True,"{""baseline"": 185, ""weak_ai"": -185}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,25,baseline,weak_ai,430,430,Showdown,True,"{""baseline"": -215, ""weak_ai"": 215}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,26,weak_ai,weak_ai,1980,1980,Flop,False,"{""baseline"": -980, ""weak_ai"": 980}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,27,baseline,"baseline, weak_ai",1100,1100,Showdown,True,"{""baseline"": 0, ""weak_ai"": 0}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,28,weak_ai,weak_ai,1980,1980,Flop,False,"{""baseline"": -980, ""weak_ai"": 980}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,29,baseline,baseline,2000,2000,Showdown,True,"{""baseline"": 1000, ""weak_ai"": -1000}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,30,weak_ai,baseline,400,400,Showdown,True,"{""baseline"": 200, ""weak_ai"": -200}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,31,baseline,weak_ai,520,520,Showdown,True,"{""baseline"": -260, ""weak_ai"": 260}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,32,weak_ai,baseline,480,480,Showdown,True,"{""baseline"": 240, ""weak_ai"": -240}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,33,baseline,weak_ai,1980,1980,Showdown,True,"{""baseline"": -990, ""weak_ai"": 990}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,34,weak_ai,baseline,1482,1482,Showdown,True,"{""baseline"": 741, ""weak_ai"": -741}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,35,baseline,baseline,540,540,Showdown,True,"{""baseline"": 270, ""weak_ai"": -270}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,36,weak_ai,baseline,1746,1746,Showdown,True,"{""baseline"": 873, ""weak_ai"": -873}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,37,baseline,weak_ai,440,440,Showdown,True,"{""baseline"": -220, ""weak_ai"": 220}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,38,weak_ai,baseline,400,400,Showdown,True,"{""baseline"": 200, ""weak_ai"": -200}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,39,baseline,baseline,440,440,Showdown,True,"{""baseline"": 220, ""weak_ai"": -220}"
20260408T102956Z,match_003_baseline_vs_weak_ai,2,40,weak_ai,baseline,400,400,Showdown,True,"{""baseline"": 200, ""weak_ai"": -200}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,1,baseline,baseline,2000,2000,Showdown,True,"{""baseline"": 1000, ""weak_ai"": -1000}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,2,weak_ai,baseline,410,410,Showdown,True,"{""baseline"": 205, ""weak_ai"": -205}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,3,baseline,baseline,1480,1480,Showdown,True,"{""baseline"": 740, ""weak_ai"": -740}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,4,weak_ai,weak_ai,420,420,Showdown,True,"{""baseline"": -210, ""weak_ai"": 210}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,5,baseline,baseline,540,540,Showdown,True,"{""baseline"": 270, ""weak_ai"": -270}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,6,weak_ai,weak_ai,400,400,Showdown,True,"{""baseline"": -200, ""weak_ai"": 200}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,7,baseline,weak_ai,400,400,River,False,"{""baseline"": -140, ""weak_ai"": 140}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,8,weak_ai,weak_ai,400,400,Showdown,True,"{""baseline"": -200, ""weak_ai"": 200}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,9,baseline,weak_ai,520,520,Showdown,True,"{""baseline"": -260, ""weak_ai"": 260}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,10,weak_ai,weak_ai,400,400,Showdown,True,"{""baseline"": -200, ""weak_ai"": 200}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,11,baseline,baseline,1780,1780,Showdown,True,"{""baseline"": 890, ""weak_ai"": -890}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,12,weak_ai,baseline,2000,2000,Showdown,True,"{""baseline"": 1000, ""weak_ai"": -1000}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,13,baseline,baseline,500,500,Showdown,True,"{""baseline"": 250, ""weak_ai"": -250}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,14,weak_ai,"baseline, weak_ai",1250,1250,Showdown,True,"{""baseline"": 0, ""weak_ai"": 0}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,15,baseline,baseline,420,420,Showdown,True,"{""baseline"": 210, ""weak_ai"": -210}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,16,weak_ai,weak_ai,640,640,Showdown,True,"{""baseline"": -320, ""weak_ai"": 320}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,17,baseline,weak_ai,520,520,Showdown,True,"{""baseline"": -260, ""weak_ai"": 260}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,18,weak_ai,baseline,1214,1214,Showdown,True,"{""baseline"": 607, ""weak_ai"": -607}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,19,baseline,weak_ai,1880,1880,Flop,False,"{""baseline"": -920, ""weak_ai"": 920}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,20,weak_ai,weak_ai,350,350,Showdown,True,"{""baseline"": -175, ""weak_ai"": 175}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,21,baseline,weak_ai,340,340,Showdown,True,"{""baseline"": -170, ""weak_ai"": 170}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,22,weak_ai,baseline,1460,1460,Showdown,True,"{""baseline"": 730, ""weak_ai"": -730}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,23,baseline,baseline,1100,1100,Showdown,True,"{""baseline"": 550, ""weak_ai"": -550}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,24,weak_ai,weak_ai,440,440,Showdown,True,"{""baseline"": -220, ""weak_ai"": 220}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,25,baseline,baseline,1960,1960,Showdown,True,"{""baseline"": 980, ""weak_ai"": -980}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,26,weak_ai,weak_ai,370,370,Showdown,True,"{""baseline"": -185, ""weak_ai"": 185}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,27,baseline,weak_ai,430,430,Showdown,True,"{""baseline"": -215, ""weak_ai"": 215}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,28,weak_ai,weak_ai,1980,1980,Flop,False,"{""baseline"": -980, ""weak_ai"": 980}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,29,baseline,weak_ai,400,400,River,False,"{""baseline"": -140, ""weak_ai"": 140}"
20260408T102956Z,match_004_baseline_vs_weak_ai,2,30,weak_ai,weak_ai,390,390,Showdown,True,"{""baseline"": -195, ""weak_ai"": 195}"
